Nombre,Cantidad,Precio,Categoria,Proveedor,Imagenes
Mouse Pro Modelo 1,49,482.13,Ropa,Samsung,"silla_engonomica.jpg, mouse-logitech.jpg"
Auriculares Inalambricos Modelo 2,297,472.78,Hogar,Nike,arroz_premiun.jpg
Televisor OLED Modelo 3,246,354.79,Alimentos,Adidas,silla_engonomica.jpg
Cable USB-C Modelo 4,191,899.12,Calzado,Nestle,"Adidas.jpg, teclado_mecanico.jpg"
Camiseta Polo Modelo 5,256,183.34,Tecnologia,LG,teclado_mecanico.jpg
Pantalón Denim Modelo 6,171,550.51,Ropa,Puma,camiseta_frente2.jpg
Sudadera Comoda Modelo 7,93,184.64,Hogar,Bimbo,pantalon_2.jpg
Chaqueta Lluvia Modelo 8,158,387.90,Alimentos,Sony,Mous-Pad.jpg
Gorra Urbana Modelo 9,259,320.32,Calzado,Samsung,"Adidas.jpg, zapato_2.jpg"
Mesa Auxiliar Modelo 10,49,314.66,Tecnologia,Nike,monitor_samsung.png
Lampara de Noche Modelo 11,32,695.48,Ropa,Adidas,"TCL_1.jpg, TCL_1.jpg"
Sillon Relax Modelo 12,242,728.68,Hogar,Nestle,HP-PAVILION-15.jpg
Silla Gaming Modelo 13,92,586.80,Alimentos,LG,"Adidas.jpg, Leche-deslactosada.jpg"
Escritorio Madera Modelo 14,24,355.44,Calzado,Puma,jean_1.png
Aceite Vegetal Modelo 15,280,91.68,Tecnologia,Bimbo,camiseta_frente2.jpg
Arroz Integral Modelo 16,228,196.41,Ropa,Sony,monitor_samsung.png
Galletas Saladas Modelo 17,90,842.76,Hogar,Samsung,"arroz_premiun.jpg, TCL_1.jpg"
Jugo de Manzana Modelo 18,253,712.92,Alimentos,Nike,aciete_oliva.png
Leche Entera Modelo 19,35,524.38,Calzado,Adidas,zapato_1.jpg
Zapatillas Deportivas Modelo 20,133,721.52,Tecnologia,Nestle,"pantalon_2.jpg, mouse-logitech.jpg"
Zapatos Formales Modelo 21,259,185.68,Ropa,LG,zapatos_adidas2.jpg
Sandalias Playa Modelo 22,96,674.22,Hogar,Puma,HP-PAVILION-15.jpg
Botas Invierno Modelo 23,92,879.21,Alimentos,Bimbo,"TCL_1.jpg, mouse-logitech.jpg"
Tenis Casuales Modelo 24,155,90.25,Calzado,Sony,"cable_hdmi.jpg, zapato_1.jpg"
Super Laptop Modelo 25,127,538.21,Tecnologia,Samsung,zapato_1.jpg
Mouse Pro Modelo 26,244,140.44,Ropa,Nike,"Adidas.jpg, Mous-Pad.jpg"
Auriculares Inalambricos Modelo 27,285,522.27,Hogar,Adidas,Mous-Pad.jpg
Televisor OLED Modelo 28,161,758.36,Alimentos,Nestle,"jean_1.png, audifonos_sony.jpg"
Cable USB-C Modelo 29,131,30.05,Calzado,LG,teclado_mecanico.jpg
Camiseta Polo Modelo 30,136,511.89,Tecnologia,Puma,"zapato_1.jpg, Mous-Pad.jpg"
Pantalón Denim Modelo 31,46,553.77,Ropa,Bimbo,"mouse-logitech.jpg, zapatos_adidas2.jpg"
Sudadera Comoda Modelo 32,193,543.15,Hogar,Sony,jean_1.png
Chaqueta Lluvia Modelo 33,114,607.37,Alimentos,Samsung,monitor_samsung.png
Gorra Urbana Modelo 34,225,515.02,Calzado,Nike,silla_engonomica.jpg
Mesa Auxiliar Modelo 35,67,45.56,Tecnologia,Adidas,camiseta_frente2.jpg
Lampara de Noche Modelo 36,54,584.72,Ropa,Nestle,mouse-logitech.jpg
Sillon Relax Modelo 37,150,810.86,Hogar,LG,"cable_hdmi.jpg, zapato_2.jpg"
Silla Gaming Modelo 38,194,252.92,Alimentos,Puma,remas_papel.jpg
Escritorio Madera Modelo 39,77,599.16,Calzado,Bimbo,Leche-deslactosada.jpg
Aceite Vegetal Modelo 40,85,61.92,Tecnologia,Sony,zapatos_adidas2.jpg
Arroz Integral Modelo 41,262,604.42,Ropa,Samsung,arroz_premiun.jpg
Galletas Saladas Modelo 42,212,471.33,Hogar,Nike,HP-PAVILION-15.jpg
Jugo de Manzana Modelo 43,258,782.64,Alimentos,Adidas,jean_1.png
Leche Entera Modelo 44,264,388.60,Calzado,Nestle,teclado_mecanico.jpg
Zapatillas Deportivas Modelo 45,188,300.20,Tecnologia,LG,"audifonos_sony.jpg, camiseta_frente2.jpg"
Zapatos Formales Modelo 46,202,524.44,Ropa,Puma,"Mous-Pad.jpg, camisa_frente.jpg"
Sandalias Playa Modelo 47,82,749.29,Hogar,Bimbo,mouse-logitech.jpg
Botas Invierno Modelo 48,156,330.25,Alimentos,Sony,camisa_frente.jpg
Tenis Casuales Modelo 49,165,343.39,Calzado,Samsung,"monitor_samsung.png, teclado_mecanico.jpg"
Super Laptop Modelo 50,289,365.64,Tecnologia,Nike,"mouse-logitech.jpg, TCL_1.jpg"
